Time(s) ,Extension(mm),Load(kN),Flexural stress(MPa),Flexural strain(%)
161.1,2.68,0.1,49.32,1.57
161.2,2.69,0.1,49.4,1.57
161.3,2.69,0.1,49.47,1.57
161.4,2.69,0.1,49.41,1.57
161.5,2.69,0.1,49.53,1.57
161.6,2.69,0.1,49.53,1.57
161.7,2.69,0.1,49.56,1.57
161.8,2.7,0.1,49.57,1.57
161.9,2.7,0.1,49.59,1.57
162,2.7,0.1,49.61,1.57
162.1,2.7,0.1,49.6,1.58
162.2,2.7,0.1,49.71,1.58
162.3,2.7,0.1,49.8,1.58
162.4,2.71,0.1,49.82,1.58
162.5,2.71,0.1,49.75,1.58
162.6,2.71,0.1,49.87,1.58
162.7,2.71,0.1,49.85,1.58
162.8,2.71,0.1,49.94,1.58
162.9,2.71,0.1,49.97,1.58
163,2.72,0.1,50.02,1.58
163.1,2.72,0.1,49.98,1.58
163.2,2.72,0.1,50.02,1.59
163.3,2.72,0.1,50.1,1.59
163.4,2.72,0.1,50.17,1.59
163.5,2.72,0.1,50.13,1.59
163.6,2.73,0.1,50.17,1.59
163.7,2.73,0.1,50.25,1.59
163.8,2.73,0.1,50.24,1.59
163.9,2.73,0.1,50.29,1.59
164,2.73,0.1,50.32,1.59
164.1,2.73,0.1,50.29,1.59
164.2,2.74,0.1,50.36,1.6
164.3,2.74,0.1,50.44,1.6
164.4,2.74,0.1,50.44,1.6
164.5,2.74,0.1,50.46,1.6
164.6,2.74,0.1,50.52,1.6
164.7,2.74,0.1,50.5,1.6
164.8,2.75,0.1,50.59,1.6
164.9,2.75,0.1,50.65,1.6
165,2.75,0.1,50.65,1.6
165.1,2.75,0.1,50.71,1.6
165.2,2.75,0.1,50.74,1.61
165.3,2.75,0.1,50.73,1.61
165.4,2.76,0.1,50.76,1.61
165.5,2.76,0.1,50.81,1.61
165.6,2.76,0.1,50.84,1.61
165.7,2.76,0.1,50.91,1.61
165.8,2.76,0.1,50.92,1.61
165.9,2.76,0.1,50.92,1.61
166,2.77,0.1,50.96,1.61
166.1,2.77,0.1,50.95,1.61
166.2,2.77,0.1,51.03,1.61
166.3,2.77,0.1,51.08,1.62
166.4,2.77,0.1,51.09,1.62
166.5,2.77,0.1,51.12,1.62
166.6,2.78,0.1,51.13,1.62
166.7,2.78,0.1,51.17,1.62
166.8,2.78,0.1,51.25,1.62
166.9,2.78,0.1,51.25,1.62
167,2.78,0.1,51.35,1.62
167.1,2.78,0.1,51.34,1.62
167.2,2.79,0.1,51.37,1.62
167.3,2.79,0.1,51.42,1.63
167.4,2.79,0.11,51.43,1.63
167.5,2.79,0.11,51.45,1.63
167.6,2.79,0.11,51.52,1.63
167.7,2.79,0.11,51.53,1.63
167.8,2.8,0.11,51.56,1.63
167.9,2.8,0.11,51.57,1.63
168,2.8,0.11,51.61,1.63
168.1,2.8,0.11,51.66,1.63
168.2,2.8,0.11,51.68,1.63
168.3,2.8,0.11,51.67,1.64
168.4,2.81,0.11,51.73,1.64
168.5,2.81,0.11,51.78,1.64
168.6,2.81,0.11,51.79,1.64
168.7,2.81,0.11,51.85,1.64
168.8,2.81,0.11,51.86,1.64
168.9,2.81,0.11,51.99,1.64
169,2.82,0.11,52,1.64
169.1,2.82,0.11,51.94,1.64
169.2,2.82,0.11,51.99,1.64
169.3,2.82,0.11,52.03,1.65
169.4,2.82,0.11,52.09,1.65
169.5,2.82,0.11,52.14,1.65
169.6,2.83,0.11,52.14,1.65
169.7,2.83,0.11,52.15,1.65
169.8,2.83,0.11,52.19,1.65
169.9,2.83,0.11,52.28,1.65
170,2.83,0.11,52.25,1.65
170.1,2.83,0.11,52.33,1.65
170.2,2.84,0.11,52.3,1.65
170.3,2.84,0.11,52.35,1.65
170.4,2.84,0.11,52.41,1.66
170.5,2.84,0.11,52.4,1.66
170.6,2.84,0.11,52.46,1.66
170.7,2.84,0.11,52.47,1.66
170.8,2.85,0.11,52.53,1.66
170.9,2.85,0.11,52.55,1.66
171,2.85,0.11,52.69,1.66
171.1,2.85,0.11,52.63,1.66
171.2,2.85,0.11,52.64,1.66
171.3,2.85,0.11,52.7,1.66
171.4,2.86,0.11,52.71,1.67
171.5,2.86,0.11,52.78,1.67
171.6,2.86,0.11,52.79,1.67
171.7,2.86,0.11,52.85,1.67
171.8,2.86,0.11,52.84,1.67
171.9,2.86,0.11,52.95,1.67
172,2.87,0.11,52.93,1.67
172.1,2.87,0.11,52.99,1.67
172.2,2.87,0.11,52.96,1.67
172.3,2.87,0.11,52.97,1.67
172.4,2.87,0.11,53.03,1.68
172.5,2.87,0.11,53.05,1.68
172.6,2.88,0.11,53.13,1.68
172.7,2.88,0.11,53.16,1.68
172.8,2.88,0.11,53.14,1.68
172.9,2.88,0.11,53.23,1.68
173,2.88,0.11,53.22,1.68
173.1,2.88,0.11,53.25,1.68
173.2,2.89,0.11,53.37,1.68
173.3,2.89,0.11,53.36,1.68
173.4,2.89,0.11,53.36,1.69
173.5,2.89,0.11,53.41,1.69
173.6,2.89,0.11,53.43,1.69
173.7,2.89,0.11,53.46,1.69
173.8,2.9,0.11,53.5,1.69
173.9,2.9,0.11,53.54,1.69
174,2.9,0.11,53.52,1.69
174.1,2.9,0.11,53.58,1.69
174.2,2.9,0.11,53.62,1.69
174.3,2.9,0.11,53.71,1.69
174.4,2.91,0.11,53.74,1.69
174.5,2.91,0.11,53.75,1.7
174.6,2.91,0.11,53.77,1.7
174.7,2.91,0.11,53.8,1.7
174.8,2.91,0.11,53.83,1.7
174.9,2.91,0.11,53.88,1.7
175,2.92,0.11,53.88,1.7
175.1,2.92,0.11,53.93,1.7
175.2,2.92,0.11,53.96,1.7
175.3,2.92,0.11,54.03,1.7
175.4,2.92,0.11,54.01,1.7
175.5,2.92,0.11,54.07,1.71
175.6,2.93,0.11,54.1,1.71
175.7,2.93,0.11,54.14,1.71
175.8,2.93,0.11,54.14,1.71
175.9,2.93,0.11,54.12,1.71
176,2.93,0.11,54.21,1.71
176.1,2.93,0.11,54.24,1.71
176.2,2.94,0.11,54.27,1.71
176.3,2.94,0.11,54.28,1.71
176.4,2.94,0.11,54.35,1.71
176.5,2.94,0.11,54.37,1.72
176.6,2.94,0.11,54.39,1.72
176.7,2.94,0.11,54.46,1.72
176.8,2.95,0.11,54.45,1.72
176.9,2.95,0.11,54.49,1.72
177,2.95,0.11,54.53,1.72
177.1,2.95,0.11,54.56,1.72
177.2,2.95,0.11,54.6,1.72
177.3,2.95,0.11,54.61,1.72
177.4,2.96,0.11,54.64,1.72
177.5,2.96,0.11,54.7,1.72
177.6,2.96,0.11,54.71,1.73
177.7,2.96,0.11,54.71,1.73
177.8,2.96,0.11,54.76,1.73
177.9,2.96,0.11,54.8,1.73
178,2.97,0.11,54.79,1.73
178.1,2.97,0.11,54.87,1.73
178.2,2.97,0.11,54.97,1.73
178.3,2.97,0.11,54.9,1.73
178.4,2.97,0.11,55,1.73
178.5,2.97,0.11,55.02,1.73
178.6,2.98,0.11,55.02,1.74
178.7,2.98,0.11,55.07,1.74
178.8,2.98,0.11,55.12,1.74
178.9,2.98,0.11,55.13,1.74
179,2.98,0.11,55.22,1.74
179.1,2.98,0.11,55.17,1.74
179.2,2.99,0.11,55.24,1.74
179.3,2.99,0.11,55.29,1.74
179.4,2.99,0.11,55.28,1.74
179.5,2.99,0.11,55.33,1.74
179.6,2.99,0.11,55.41,1.75
179.7,2.99,0.11,55.41,1.75
179.8,3,0.11,55.4,1.75
179.9,3,0.11,55.47,1.75
180,3,0.11,55.49,1.75
180.1,3,0.11,55.6,1.75
180.2,3,0.11,55.59,1.75
180.3,3,0.11,55.66,1.75
180.4,3,0.11,55.66,1.75
180.5,3.01,0.11,55.67,1.75
180.6,3.01,0.11,55.71,1.76
180.7,3.01,0.11,55.71,1.76
180.8,3.01,0.11,55.78,1.76
180.9,3.01,0.11,55.81,1.76
181,3.02,0.11,55.84,1.76
181.1,3.02,0.11,55.84,1.76
181.2,3.02,0.11,55.88,1.76
181.3,3.02,0.11,55.87,1.76
181.4,3.02,0.11,55.93,1.76
181.5,3.02,0.11,55.96,1.76
181.6,3.03,0.11,56.02,1.76
181.7,3.03,0.11,56.06,1.77
181.8,3.03,0.11,56.05,1.77
181.9,3.03,0.11,56.13,1.77
182,3.03,0.11,56.17,1.77
182.1,3.03,0.11,56.16,1.77
182.2,3.04,0.11,56.2,1.77
182.3,3.04,0.11,56.26,1.77
182.4,3.04,0.11,56.31,1.77
182.5,3.04,0.11,56.25,1.77
182.6,3.04,0.12,56.35,1.77
182.7,3.04,0.12,56.34,1.78
182.8,3.05,0.12,56.36,1.78
182.9,3.05,0.12,56.47,1.78
183,3.05,0.12,56.51,1.78
183.1,3.05,0.12,56.51,1.78
183.2,3.05,0.12,56.53,1.78
183.3,3.05,0.12,56.54,1.78
183.4,3.06,0.12,56.59,1.78
183.5,3.06,0.12,56.66,1.78
183.6,3.06,0.12,56.68,1.78
183.7,3.06,0.12,56.72,1.79
183.8,3.06,0.12,56.72,1.79
183.9,3.06,0.12,56.82,1.79
184,3.07,0.12,56.81,1.79
184.1,3.07,0.12,56.82,1.79
184.2,3.07,0.12,56.89,1.79
184.3,3.07,0.12,56.88,1.79
184.4,3.07,0.12,56.95,1.79
184.5,3.07,0.12,56.91,1.79
184.6,3.08,0.12,56.98,1.79
184.7,3.08,0.12,57.01,1.79
184.8,3.08,0.12,57.03,1.8
184.9,3.08,0.12,57.12,1.8
185,3.08,0.12,57.12,1.8
185.1,3.08,0.12,57.18,1.8
185.2,3.08,0.12,57.2,1.8
185.3,3.09,0.12,57.2,1.8
185.4,3.09,0.12,57.19,1.8
185.5,3.09,0.12,57.26,1.8
185.6,3.09,0.12,57.27,1.8
185.7,3.09,0.12,57.32,1.8
185.8,3.1,0.12,57.37,1.81
185.9,3.1,0.12,57.38,1.81
186,3.1,-0.01,-6.46,1.81
186.1,3.1,-0.01,-4.31,1.81
186.2,3.1,-0.01,-4.27,1.81
186.3,3.1,-0.01,-4.2,1.81
186.4,3.11,-0.01,-4.22,1.81
186.5,3.11,-0.01,-4.25,1.81
186.6,3.11,-0.01,-4.25,1.81
186.7,3.11,-0.01,-4.25,1.81
186.8,3.11,-0.01,-4.21,1.82
186.9,3.11,-0.01,-4.27,1.82
187,3.12,-0.01,-4.27,1.82
187.1,3.12,-0.01,-4.22,1.82
187.2,3.12,-0.01,-4.27,1.82
187.3,3.12,-0.01,-4.22,1.82
187.4,3.12,-0.01,-4.31,1.82
187.5,3.12,-0.01,-4.25,1.82
187.6,3.13,-0.01,-4.23,1.82
187.7,3.13,-0.01,-4.2,1.82
187.8,3.13,-0.01,-4.22,1.83
187.9,3.13,-0.01,-4.25,1.83
188,3.13,-0.01,-4.24,1.83
188.1,3.13,-0.01,-4.27,1.83
188.2,3.14,-0.01,-4.23,1.83
188.3,3.14,-0.01,-4.27,1.83
188.4,3.14,-0.01,-4.17,1.83
188.5,3.14,-0.01,-4.22,1.83
188.6,3.14,-0.01,-4.27,1.83
188.7,3.14,-0.01,-4.23,1.83
188.8,3.15,-0.01,-4.24,1.83
188.9,3.15,-0.01,-4.22,1.84
189,3.15,-0.01,-4.21,1.84
189.1,3.15,-0.01,-4.24,1.84
189.2,3.15,-0.01,-4.22,1.84
189.3,3.15,-0.01,-4.22,1.84
189.4,3.16,-0.01,-4.19,1.84
189.5,3.16,-0.01,-4.24,1.84
189.6,3.16,-0.01,-4.22,1.84
189.7,3.16,-0.01,-4.23,1.84
189.8,3.16,-0.01,-4.21,1.84
189.9,3.16,-0.01,-4.26,1.85
190,3.17,-0.01,-4.22,1.85
190.1,3.17,-0.01,-4.23,1.85
190.2,3.17,-0.01,-4.23,1.85
190.3,3.17,-0.01,-4.25,1.85
190.4,3.17,-0.01,-4.26,1.85
190.5,3.17,-0.01,-4.26,1.85
190.6,3.18,-0.01,-4.25,1.85
190.7,3.18,-0.01,-4.23,1.85
190.8,3.18,-0.01,-4.2,1.85
190.9,3.18,-0.01,-4.27,1.86
191,3.18,-0.01,-4.22,1.86
191.1,3.18,-0.01,-4.17,1.86
191.2,3.19,-0.01,-4.24,1.86
191.3,3.19,-0.01,-4.22,1.86
191.4,3.19,-0.01,-4.23,1.86
191.5,3.19,-0.01,-4.25,1.86
191.6,3.19,-0.01,-4.23,1.86
191.7,3.19,-0.01,-4.26,1.86
191.8,3.2,-0.01,-4.18,1.86
191.9,3.2,-0.01,-4.25,1.86
192,3.2,-0.01,-4.24,1.87
192.1,3.2,-0.01,-4.24,1.87
192.2,3.2,-0.01,-4.22,1.87
192.3,3.2,-0.01,-4.25,1.87
192.4,3.21,-0.01,-4.23,1.87
192.5,3.21,-0.01,-4.26,1.87
192.6,3.21,-0.01,-4.28,1.87
192.7,3.21,-0.01,-4.17,1.87
192.8,3.21,-0.01,-4.23,1.87
192.9,3.21,-0.01,-4.19,1.87
193,3.22,-0.01,-4.25,1.88
193.1,3.22,-0.01,-4.19,1.88
193.2,3.22,-0.01,-4.21,1.88
193.3,3.22,-0.01,-4.21,1.88
193.4,3.22,-0.01,-4.25,1.88
193.5,3.22,-0.01,-4.28,1.88
193.6,3.23,-0.01,-4.2,1.88
193.7,3.23,-0.01,-4.24,1.88
193.8,3.23,-0.01,-4.21,1.88
193.9,3.23,-0.01,-4.25,1.88
194,3.23,-0.01,-4.23,1.89
194.1,3.23,-0.01,-4.21,1.89
194.2,3.24,-0.01,-4.2,1.89
194.3,3.24,-0.01,-4.22,1.89
194.4,3.24,-0.01,-4.2,1.89
194.5,3.24,-0.01,-4.24,1.89
194.6,3.24,-0.01,-4.15,1.89
194.7,3.24,-0.01,-4.18,1.89
194.8,3.25,-0.01,-4.18,1.89
194.9,3.25,-0.01,-4.21,1.89
195,3.25,-0.01,-4.21,1.89
195.1,3.25,-0.01,-4.24,1.9
195.2,3.25,-0.01,-4.21,1.9
195.3,3.25,-0.01,-4.21,1.9
195.4,3.26,-0.01,-4.19,1.9
195.5,3.26,-0.01,-4.2,1.9
195.6,3.26,-0.01,-4.24,1.9
195.7,3.26,-0.01,-4.25,1.9
195.8,3.26,-0.01,-4.22,1.9
195.9,3.26,-0.01,-4.24,1.9
196,3.27,-0.01,-4.2,1.9
196.1,3.27,-0.01,-4.26,1.91
196.2,3.27,-0.01,-4.22,1.91
196.3,3.27,-0.01,-4.23,1.91
196.4,3.27,-0.01,-4.23,1.91
196.5,3.27,-0.01,-4.21,1.91
196.6,3.28,-0.01,-4.2,1.91
196.7,3.28,-0.01,-4.2,1.91
196.8,3.28,-0.01,-4.21,1.91
196.9,3.28,-0.01,-4.29,1.91
197,3.28,-0.01,-4.2,1.91
197.1,3.28,-0.01,-4.25,1.92
197.2,3.29,-0.01,-4.18,1.92
197.3,3.29,-0.01,-4.2,1.92
197.4,3.29,-0.01,-4.28,1.92
197.5,3.29,-0.01,-4.22,1.92
197.6,3.29,-0.01,-4.18,1.92
197.7,3.29,-0.01,-4.23,1.92
197.8,3.3,-0.01,-4.26,1.92
197.9,3.3,-0.01,-4.21,1.92
198,3.3,-0.01,-4.23,1.92
198.1,3.3,-0.01,-4.23,1.93
198.2,3.3,-0.01,-4.21,1.93
198.3,3.3,-0.01,-4.22,1.93
198.4,3.31,-0.01,-4.22,1.93
198.5,3.31,-0.01,-4.25,1.93
198.6,3.31,-0.01,-4.23,1.93
198.7,3.31,-0.01,-4.18,1.93
198.8,3.31,-0.01,-4.24,1.93
198.9,3.31,-0.01,-4.26,1.93
199,3.32,-0.01,-4.23,1.93
199.1,3.32,-0.01,-4.24,1.93
199.2,3.32,-0.01,-4.24,1.94
199.3,3.32,-0.01,-4.19,1.94
199.4,3.32,-0.01,-4.21,1.94
199.5,3.32,-0.01,-4.18,1.94
199.6,3.33,-0.01,-4.22,1.94
199.7,3.33,-0.01,-4.17,1.94
199.8,3.33,-0.01,-4.22,1.94
199.9,3.33,-0.01,-4.24,1.94
200,3.33,-0.01,-4.21,1.94
200.1,3.33,-0.01,-4.22,1.94
200.2,3.34,-0.01,-4.23,1.95
200.3,3.34,-0.01,-4.24,1.95
200.4,3.34,-0.01,-4.19,1.95
200.5,3.34,-0.01,-4.23,1.95
200.6,3.34,-0.01,-4.21,1.95
200.7,3.34,-0.01,-4.26,1.95
200.8,3.35,-0.01,-4.24,1.95
200.9,3.35,-0.01,-4.26,1.95
201,3.35,-0.01,-4.17,1.95
201.1,3.35,-0.01,-4.21,1.95
201.2,3.35,-0.01,-4.18,1.96
201.3,3.35,-0.01,-4.23,1.96
201.4,3.36,-0.01,-4.2,1.96
201.5,3.36,-0.01,-4.26,1.96
201.6,3.36,-0.01,-4.21,1.96
201.7,3.36,-0.01,-4.24,1.96
201.8,3.36,-0.01,-4.23,1.96
201.9,3.36,-0.01,-4.22,1.96
202,3.37,-0.01,-4.23,1.96
202.1,3.37,-0.01,-4.25,1.96
202.2,3.37,-0.01,-4.21,1.97
202.3,3.37,-0.01,-4.23,1.97
202.4,3.37,-0.01,-4.21,1.97
202.5,3.37,-0.01,-4.23,1.97
202.6,3.38,-0.01,-4.21,1.97
202.7,3.38,-0.01,-4.21,1.97
202.8,3.38,-0.01,-4.25,1.97
202.9,3.38,-0.01,-4.24,1.97
203,3.38,-0.01,-4.21,1.97
203.1,3.38,-0.01,-4.19,1.97
203.2,3.39,-0.01,-4.23,1.97
203.3,3.39,-0.01,-4.23,1.98
203.4,3.39,-0.01,-4.21,1.98
203.5,3.39,-0.01,-4.18,1.98
203.6,3.39,-0.01,-4.22,1.98
203.7,3.39,-0.01,-4.23,1.98
203.8,3.4,-0.01,-4.17,1.98
203.9,3.4,-0.01,-4.21,1.98
204,3.4,-0.01,-4.22,1.98
204.1,3.4,-0.01,-4.23,1.98
204.2,3.4,-0.01,-4.26,1.98
204.3,3.4,-0.01,-4.19,1.99
204.4,3.41,-0.01,-4.23,1.99
204.5,3.41,-0.01,-4.21,1.99
204.6,3.41,-0.01,-4.23,1.99
204.7,3.41,-0.01,-4.26,1.99
204.8,3.41,-0.01,-4.21,1.99
204.9,3.41,-0.01,-4.2,1.99
205,3.42,-0.01,-4.25,1.99
205.1,3.42,-0.01,-4.16,1.99
205.2,3.42,-0.01,-4.19,1.99
205.3,3.42,-0.01,-4.24,2
205.4,3.42,-0.01,-4.24,2
205.5,3.42,-0.01,-4.19,2
205.6,3.43,-0.01,-4.26,2
205.7,3.43,-0.01,-4.18,2
205.8,3.43,-0.01,-4.16,2
205.9,3.43,-0.01,-4.23,2
206,3.43,-0.01,-4.18,2
206.1,3.43,-0.01,-4.2,2
206.2,3.44,-0.01,-4.24,2
206.3,3.44,-0.01,-4.24,2
206.4,3.44,-0.01,-4.2,2.01
206.5,3.44,-0.01,-4.22,2.01
206.6,3.44,-0.01,-4.23,2.01
206.7,3.44,-0.01,-4.2,2.01
206.8,3.45,-0.01,-4.19,2.01
206.9,3.45,-0.01,-4.22,2.01
207,3.45,-0.01,-4.22,2.01
207.1,3.45,-0.01,-4.2,2.01
207.2,3.45,-0.01,-4.24,2.01
207.3,3.45,-0.01,-4.19,2.01
207.4,3.46,-0.01,-4.17,2.02
207.5,3.46,-0.01,-4.2,2.02
207.6,3.46,-0.01,-4.18,2.02
207.7,3.46,-0.01,-4.2,2.02
207.8,3.46,-0.01,-4.23,2.02
207.86,3.46,-0.01,-4.21,2.02
